pH_treatment,Species,blank.rate,FileName,Intercept,umol.L.sec,Temp.C,block,experiment,tank,temp_treatment,predator,ID,BLANK,start.time,stop.time,volume,dry_weight,wet_weight,TA.start,TA.stop,dry_shell_weight,initial_wet_weight,umol.sec,umol.sec.corr,Respiration,NetPhoto,GrossPhoto
7.2,Rockweed,-1.53E-05,RW_T12_71_Dark_20240429_O2,237.7720486,-0.008777981,16.21601136,S12,a,12,16,c,71,0,0:46:00,1:17:00,648,1.0943,3.551,NA,NA,NA,NA,-0.005688132,-0.005672824,18.66231114,35.78791198,54.45022311
7.2,Rockweed,-1.53E-05,RW_T12_72_Dark_20240429_O2,258.5179489,-0.00380216,16.32233708,S12,a,12,16,p,72,0,0:46:00,1:17:00,648,0.4931,1.6463,NA,NA,NA,NA,-0.0024638,-0.002448492,17.87583015,74.14267932,92.01850947
7.2,Rockweed,-1.53E-05,RW_T3_13_Dark_20240612_O2,232.2300335,-0.005027846,20.23107018,S101,b,3,20,c,13,0,6:25:00,6:46:00,645,0.8538,2.8688,NA,NA,NA,NA,-0.003242961,-0.003227653,13.60921927,104.7845376,118.3937569
7.2,Rockweed,-1.53E-05,RW_T3_14_Dark_20240612_O2,234.1222544,-0.004660476,20.18047368,S101,b,3,20,p,14,0,6:25:00,6:46:00,647,0.7237,2.3923,NA,NA,NA,NA,-0.003015328,-0.00300002,14.9234126,55.82391804,70.74733064
7.2,Rockweed,-1.53E-05,RW_T3_15_Dark_20240612_O2,240.4110168,-0.003481836,20.08201754,S101,b,3,20,c,15,0,6:25:00,6:46:00,648.5,0.648,2.0038,NA,NA,NA,NA,-0.002257971,-0.002242663,12.4592397,56.42129228,68.88053198
7.2,Rockweed,-1.53E-05,RW_T3_16_Dark_20240612_O2,234.1373839,-0.002919866,20.17831579,S101,b,3,20,p,16,0,6:25:00,6:46:00,649,0.7167,2.5041,NA,NA,NA,NA,-0.001894993,-0.001879686,9.441702138,72.80383861,82.24554074
7.2,Rockweed,-1.53E-05,RW_T3_17_Dark_20240612_O2,228.7644038,-0.006005302,19.9272807,S101,b,3,20,c,17,0,6:25:00,6:46:00,647.5,0.9842,3.2762,NA,NA,NA,NA,-0.003888433,-0.003873126,14.16709202,103.1936493,117.3607413
7.2,Rockweed,-1.53E-05,RW_T3_18_Dark_20240612_O2,222.5957389,-0.004303802,19.93438596,S101,b,3,20,p,18,0,6:25:00,6:46:00,647,1.0099,2.84,NA,NA,NA,NA,-0.00278456,-0.002769252,9.871579977,66.91041153,76.78199151
7.2,Tegula,-2.96E-05,TEG_T1_56_20240430_O2,220.9643697,-0.003991992,19.90749432,S48,a,1,20,NA,56,0,12:58:00,13:59:00,115,0.0661,2.1513,12:30:00,14:01:00,1.7045,2.1184,-4.59E-04,-4.29E-04,23.3886216,0,23.3886216
7.2,Tegula,-2.96E-05,TEG_T1_64_20240430_O2,181.2221025,-0.003754926,20.032375,S48,a,1,20,NA,64,0,12:58:00,13:59:00,115,0.0429,2.6523,12:32:00,14:05:00,2.1261,2.6371,-4.32E-04,-4.02E-04,33.74924392,0,33.74924392
7.2,Tegula,-2.96E-05,TEG_T1_69_20240430_O2,236.9559575,-0.00292632,20.04764773,S48,a,1,20,NA,69,0,12:58:00,13:59:00,115,0.0296,1.6639,12:33:00,14:06:00,1.2962,1.6524,-3.37E-04,-3.07E-04,37.32431351,0,37.32431351
7.2,Tegula,-2.96E-05,TEG_T11_09_20240615_O2,226.6037787,-0.001530801,15.94147727,S141,b,11,16,NA,9,0,11:10:00,12:12:00,115,0.0292,1.5073,10:55:00,12:15:00,1.244,1.548,-1.76E-04,-1.46E-04,18.0498224,0,18.0498224
7.2,Tegula,-2.96E-05,TEG_T11_22_20240615_O2,262.1676313,-0.003001258,15.886,S141,b,11,16,NA,22,0,11:10:00,12:12:00,115,0.039,1.7721,10:55:00,12:15:00,1.4654,1.8366,-3.45E-04,-3.16E-04,29.12369262,0,29.12369262
7.2,Tegula,-2.96E-05,TEG_T11_24_20240615_O2,260.2610663,-0.003470283,15.85173295,S141,b,11,16,NA,24,0,11:10:00,12:12:00,115,0.0464,1.9589,10:55:00,12:15:00,1.608,2.0103,-3.99E-04,-3.69E-04,28.66380091,0,28.66380091
7.2,Tegula,-2.96E-05,TEG_T12_01_20240430_O2,201.4719397,-0.004204405,16.29137097,S45,a,12,16,NA,1,0,0:44:00,1:48:00,114.5,0.1214,2.6701,0:23:00,1:56:00,2.0615,2.6567,-4.81E-04,-4.52E-04,13.39669638,0,13.39669638
7.2,Tegula,-2.96E-05,TEG_T12_60_20240430_O2,247.7741219,-0.002009603,16.38098387,S45,a,12,16,NA,60,0,0:44:00,1:48:00,114.5,0.0319,2.146,0:25:00,1:55:00,1.7513,2.1022,-2.30E-04,-2.00E-04,22.62261933,0,22.62261933
7.2,Tegula,-2.96E-05,TEG_T12_75_20240430_O2,250.5732306,-0.003969798,16.28596774,S45,a,12,16,NA,75,0,0:44:00,1:48:00,115,0.0294,1.6288,0:26:00,1:51:00,1.2918,1.5974,-4.57E-04,-4.27E-04,52.27209429,0,52.27209429
7.2,Tegula,-2.96E-05,TEG_T3_49_20240614_O2,235.0961439,-0.006491505,19.22423596,S147,b,3,20,NA,49,0,9:12:00,10:13:00,115,0.0537,1.6642,9:00:00,10:15:00,1.3362,1.6703,-7.47E-04,-7.17E-04,48.05933464,0,48.05933464
7.2,Tegula,-2.96E-05,TEG_T3_52_20240614_O2,224.8354444,-0.002213281,19.1352191,S147,b,3,20,NA,52,0,9:12:00,10:13:00,115.25,0.0316,1.5622,9:00:00,10:15:00,1.257,1.5906,-2.55E-04,-2.25E-04,25.68333819,0,25.68333819
7.2,Tegula,-2.96E-05,TEG_T3_59_20240614_O2,233.6833474,-0.003021759,19.12444944,S147,b,3,20,NA,59,0,9:12:00,10:13:00,115,0.0296,1.9869,9:00:00,10:15:00,1.6144,2.0104,-3.48E-04,-3.18E-04,38.6591698,0,38.6591698
7.3,Rockweed,-1.53E-05,RW_T15_85_Dark_20240612_O2,241.8489288,-0.005857649,19.9082459,S119,b,15,20,p,85,0,21:13:00,21:34:00,649,0.9624,3.5815,NA,NA,NA,NA,-0.003801614,-0.003786307,14.16324202,98.62833001,112.791572
7.3,Rockweed,-1.53E-05,RW_T15_86_Dark_20240612_O2,241.1191962,-0.004268131,19.92609677,S119,b,15,20,c,86,0,21:13:00,21:34:00,646,0.6085,2.1645,NA,NA,NA,NA,-0.002757213,-0.002741905,16.22162441,38.61665037,54.83827478
7.3,Rockweed,-1.53E-05,RW_T15_87_Dark_20240612_O2,233.1410957,-0.006950285,19.74517742,S119,b,15,20,c,87,0,21:13:00,21:34:00,647,0.806,3.0734,NA,NA,NA,NA,-0.004496834,-0.004481527,20.01674544,126.6582091,146.6749546
7.3,Rockweed,-1.53E-05,RW_T15_88_Dark_20240612_O2,226.3145619,-0.003783016,19.83983607,S119,b,15,20,c,88,0,21:13:00,21:34:00,648,0.471,2.2086,NA,NA,NA,NA,-0.002451394,-0.002436087,18.61977224,103.1100308,121.7298031
7.3,Rockweed,-1.53E-05,RW_T15_89_Dark_20240612_O2,233.7802839,-0.004839914,19.9896129,S119,b,15,20,p,89,0,21:13:00,21:34:00,649,0.8058,2.4133,NA,NA,NA,NA,-0.003141104,-0.003125797,13.96484,41.12992496,55.09476496
7.3,Rockweed,-1.53E-05,RW_T15_90_Dark_20240612_O2,187.4718434,-0.003080215,19.95222951,S119,b,15,20,p,90,0,21:13:00,21:34:00,647,0.4666,1.6885,NA,NA,NA,NA,-0.001992899,-0.001977592,15.25788637,58.66115756,73.91904393
7.3,Rockweed,-1.53E-05,RW_T4_19_Dark_20240428_O2,185.0398364,-0.003461272,20.01475269,S4,a,4,20,c,19,0,12:03:00,12:35:00,646,0.7912,2.9608,NA,NA,NA,NA,-0.002235982,-0.002220674,10.10417993,21.89682854,32.00100847
7.3,Rockweed,-1.53E-05,RW_T4_20_Dark_20240428_O2,231.368348,-0.005559584,19.86687097,S4,a,4,20,p,20,0,12:03:00,12:35:00,648,0.8143,2.4314,NA,NA,NA,NA,-0.00360261,-0.003587303,15.85937683,32.79161837,48.6509952
7.3,Rockweed,-1.53E-05,RW_T4_21_Dark_20240428_O2,225.8222228,-0.002622544,19.91025806,S4,a,4,20,c,21,0,12:03:00,12:35:00,648,0.9139,3.1288,NA,NA,NA,NA,-0.001699409,-0.001684101,6.633946431,28.54633164,35.18027807
7.3,Rockweed,-1.53E-05,RW_T4_22_Dark_20240428_O2,232.7212513,-0.007176672,20.02969892,S4,a,4,20,p,22,0,12:03:00,12:35:00,648,1.1292,3.1527,NA,NA,NA,NA,-0.004650483,-0.004635176,14.77739412,59.74188557,74.51927969
7.3,Rockweed,-1.53E-05,RW_T4_23_Dark_20240428_O2,242.1757684,-0.005365668,19.96230526,S4,a,4,20,c,23,0,12:03:00,12:35:00,646,0.9859,3.0703,NA,NA,NA,NA,-0.003466222,-0.003450914,12.60096409,33.03006777,45.63103187
7.3,Rockweed,-1.53E-05,RW_T4_24_Dark_20240428_O2,192.1080318,-0.002282679,20.02004348,S4,a,4,20,p,24,0,12:03:00,12:35:00,648,0.6087,2.1704,NA,NA,NA,NA,-0.001479176,-0.001463868,8.657674669,39.63589191,48.29356658
7.3,Rockweed,-1.53E-05,RW_T5_25_Dark_20240613_O2,252.5180135,-0.006376513,16.17410526,S118,b,5,16,p,25,0,7:57:00,8:18:00,647,1.1783,4.0731,NA,NA,NA,NA,-0.004125604,-0.004110296,12.55797936,95.46540245,108.0233818
7.3,Rockweed,-1.53E-05,RW_T5_26_Dark_20240613_O2,253.4638841,-0.004740368,16.35317544,S118,b,5,16,c,26,0,7:57:00,8:18:00,648,0.984,2.7718,NA,NA,NA,NA,-0.003071758,-0.003056451,11.18213767,50.98661486,62.16875254
7.3,Rockweed,-1.53E-05,RW_T5_27_Dark_20240613_O2,259.3641636,-0.002715835,16.25596491,S118,b,5,16,p,27,0,7:57:00,8:18:00,648,0.621,1.8366,NA,NA,NA,NA,-0.001759861,-0.001744554,10.11335409,53.50285322,63.6162073
7.3,Rockweed,-1.53E-05,RW_T5_28_Dark_20240613_O2,260.7244793,-0.005132729,16.28277193,S118,b,5,16,p,28,0,7:57:00,8:18:00,647.5,1.0386,3.3274,NA,NA,NA,NA,-0.003323442,-0.003308135,11.46667081,90.1410783,101.6077491
7.3,Rockweed,-1.53E-05,RW_T5_29_Dark_20240613_O2,209.1356235,-0.003128087,16.364,S118,b,5,16,c,29,0,7:57:00,8:18:00,648,0.7575,2.2729,NA,NA,NA,NA,-0.002027,-0.002011693,9.560520599,33.78799091,43.34851151
7.3,Rockweed,-1.53E-05,RW_T5_30_Dark_20240613_O2,243.2268562,-0.005462988,16.20785965,S118,b,5,16,c,30,0,7:57:00,8:18:00,647.5,0.7629,2.6583,NA,NA,NA,NA,-0.003537285,-0.003521977,16.61963302,68.31792185,84.93755487
7.3,Rockweed,-1.53E-05,RW_T6_31_Dark_20240429_O2,246.1112559,-0.008247711,16.50845977,S6,a,6,16,p,31,0,16:43:00,17:15:00,648,1.0164,2.7825,NA,NA,NA,NA,-0.005344517,-0.005329209,18.87559349,33.90347404,52.77906752
7.3,Rockweed,-1.53E-05,RW_T6_32_Dark_20240429_O2,218.745544,-0.004185609,16.70415116,S6,a,6,16,c,32,0,16:43:00,17:15:00,648,1.1611,2.9823,NA,NA,NA,NA,-0.002712275,-0.002696967,8.361968543,20.25342281,28.61539136
7.3,Rockweed,-1.53E-05,RW_T6_33_Dark_20240429_O2,255.5380894,-0.004579108,16.70389655,S6,a,6,16,p,33,0,16:43:00,17:15:00,648,0.7027,2.4774,NA,NA,NA,NA,-0.002967262,-0.002951954,15.12314806,47.96102909,63.08417715
7.3,Rockweed,-1.53E-05,RW_T6_34_Dark_20240429_O2,258.4333796,-0.005063027,16.70017442,S6,a,6,16,c,34,0,16:43:00,17:15:00,648,0.9042,2.4587,NA,NA,NA,NA,-0.003280841,-0.003265534,13.00146249,54.14184397,67.14330646
7.3,Rockweed,-1.53E-05,RW_T6_35_Dark_20240429_O2,204.276229,-0.004051233,16.72426437,S6,a,6,16,p,35,0,16:43:00,17:15:00,646,0.8307,2.8219,NA,NA,NA,NA,-0.002617097,-0.002601789,11.27535869,19.2818103,30.55716899
7.3,Rockweed,-1.53E-05,RW_T6_36_Dark_20240429_O2,250.3177842,-0.004239877,16.73763218,S6,a,6,16,c,36,0,16:43:00,17:15:00,648,0.7712,2.5357,NA,NA,NA,NA,-0.00274744,-0.002732133,12.75373193,85.30612105,98.05985298
7.3,Tegula,-2.96E-05,TEG_T15_13_20240614_O2,237.6595736,-0.004565809,20.05689205,S155,b,15,20,NA,13,0,14:55:00,15:57:00,115,0.0392,1.8433,14:46:00,16:00:00,1.4505,1.8144,-5.25E-04,-4.95E-04,45.49867668,0,45.49867668
7.3,Tegula,-2.96E-05,TEG_T15_35_20240614_O2,225.8650937,-0.004824826,19.95514773,S155,b,15,20,NA,35,0,14:55:00,15:57:00,115,0.0311,1.7411,14:46:00,16:00:00,1.4084,1.739,-5.55E-04,-5.25E-04,60.79682199,0,60.79682199
7.3,Tegula,-2.96E-05,TEG_T15_66_20240614_O2,233.5049673,-0.005381432,20.13867045,S155,b,15,20,NA,66,0,14:55:00,15:57:00,115.25,0.0369,1.5213,14:46:00,16:00:00,1.236,1.4933,-6.20E-04,-5.91E-04,57.6167842,0,57.6167842
7.3,Tegula,-2.96E-05,TEG_T4_19_20240430_O2,226.713881,-0.00563126,19.86389831,S50,a,4,20,NA,19,0,14:37:00,15:38:00,115,0.0385,2.3462,14:15:00,15:40:00,1.9008,2.2341,-6.48E-04,-6.18E-04,57.78298286,0,57.78298286
7.3,Tegula,-2.96E-05,TEG_T4_20_20240430_O2,198.7034648,-0.005113614,20.05175141,S50,a,4,20,NA,20,0,14:37:00,15:38:00,114.5,0.0516,2.6092,14:16:00,15:41:00,2.07,2.4716,-5.86E-04,-5.56E-04,38.78168393,0,38.78168393
7.3,Tegula,-2.96E-05,TEG_T4_62_20240430_O2,234.7070754,-0.00559313,20.03426966,S50,a,4,20,NA,62,0,14:37:00,15:38:00,115,0.0419,2.3512,14:17:00,15:42:00,1.8771,2.2856,-6.43E-04,-6.14E-04,52.71739905,0,52.71739905
7.3,Tegula,-2.96E-05,TEG_T5_19_20240615_O2,245.1112414,-0.002740729,15.98873446,S139,b,5,16,NA,19,0,9:38:00,10:59:00,115,0.0362,1.7874,9:14:00,11:00:00,1.3936,1.7985,-3.15E-04,-2.86E-04,28.39682337,0,28.39682337
7.3,Tegula,-2.96E-05,TEG_T5_21_20240615_O2,252.9532282,-0.001571743,15.82882386,S139,b,5,16,NA,21,0,9:38:00,10:59:00,115,0.0202,1.4185,9:14:00,11:00:00,1.1476,1.4352,-1.81E-04,-1.51E-04,26.93093079,0,26.93093079
7.3,Tegula,-2.96E-05,TEG_T5_37_20240615_O2,207.2393466,-0.00123402,15.94987006,S139,b,5,16,NA,37,0,9:38:00,10:59:00,115,0.0244,1.5959,9:14:00,11:00:00,1.2873,1.6069,-1.42E-04,-1.12E-04,16.56506066,0,16.56506066
7.3,Tegula,-2.96E-05,TEG_T6_07_20240501_O2,240.0341229,-0.003985886,16.16909091,S41,a,6,16,NA,7,0,2:15:00,3:17:00,115,0.0309,1.9467,2:05:00,3:25:00,1.4994,1.8421,-4.58E-04,-4.29E-04,49.95016194,0,49.95016194
7.3,Tegula,-2.96E-05,TEG_T6_30_20240430_O2,246.1997229,-0.003594038,15.96564246,S41,a,6,16,NA,30,0,21:15:00,22:18:00,115,0.044,2.2574,8:48:00,10:23:00,1.7508,2.1803,-4.13E-04,-3.84E-04,31.391703,0,31.391703
7.3,Tegula,-2.96E-05,TEG_T6_73_20240430_O2,216.7745627,-0.003118365,16.09368156,S41,a,6,16,NA,73,0,21:15:00,22:18:00,115,0.0382,2.1169,8:48:00,10:22:00,1.6204,2.0635,-3.59E-04,-3.29E-04,31.00278298,0,31.00278298
7.4,Rockweed,-1.53E-05,RW_T1_01_Dark_20240613_O2,261.8110051,-0.001745064,17.2592459,S108,b,1,16,p,1,0,6:36:00,6:57:00,648,0.2402,2.5786,NA,NA,NA,NA,-0.001130801,-0.001115494,16.71847752,47.13099659,63.8494741
7.4,Rockweed,-1.53E-05,RW_T1_02_Dark_20240613_O2,206.9137334,-0.002185684,17.25221311,S108,b,1,16,c,2,0,6:36:00,6:57:00,649,0.4991,1.4218,NA,NA,NA,NA,-0.001418509,-0.001403201,10.12126848,23.66767717,33.78894565
7.4,Rockweed,-1.53E-05,RW_T1_03_Dark_20240613_O2,199.2719001,-0.004177216,17.2147377,S108,b,1,16,p,3,0,6:36:00,6:57:00,648,0.8454,2.874,NA,NA,NA,NA,-0.002706836,-0.002691528,11.46144131,69.65863507,81.12007638
7.4,Rockweed,-1.53E-05,RW_T1_04_Dark_20240613_O2,255.9305499,-0.003491408,17.11590164,S108,b,1,16,p,4,0,6:36:00,6:57:00,647,0.7502,2.2138,NA,NA,NA,NA,-0.002258941,-0.002243633,10.7665696,89.91989985,100.6864695
7.4,Rockweed,-1.53E-05,RW_T1_05_Dark_20240613_O2,256.5171414,-0.004738047,17.14778689,S108,b,1,16,c,5,0,6:36:00,6:57:00,646,0.7285,2.6794,NA,NA,NA,NA,-0.003060778,-0.003045471,15.04968442,36.72679721,51.77648163
7.4,Rockweed,-1.53E-05,RW_T1_06_Dark_20240613_O2,222.3544167,-0.002792345,17.08659016,S108,b,1,16,c,6,0,6:36:00,6:57:00,647.5,0.6088,1.9033,NA,NA,NA,NA,-0.001808043,-0.001792736,10.60093495,55.13441754,65.73535248
7.4,Rockweed,-1.53E-05,RW_T10_55_Dark_20240612_O2,225.6439201,-0.005394619,19.71150909,S111,b,10,20,p,55,0,16:00:00,16:21:00,646,0.628,2.1878,NA,NA,NA,NA,-0.003484924,-0.003469616,19.88952062,41.40745176,61.29697237
7.4,Rockweed,-1.53E-05,RW_T10_56_Dark_20240612_O2,192.9370203,-0.002511107,19.88421429,S111,b,10,20,c,56,0,16:00:00,16:21:00,648,0.4487,1.4355,NA,NA,NA,NA,-0.001627197,-0.00161189,12.93247918,28.8761735,41.80865268
7.4,Rockweed,-1.53E-05,RW_T10_57_Dark_20240612_O2,238.3713809,-0.003801153,19.96148214,S111,b,10,20,p,57,0,16:00:00,16:21:00,646,0.5552,1.9643,NA,NA,NA,NA,-0.002455545,-0.002440237,15.82286458,42.13973302,57.9625976
7.4,Rockweed,-1.53E-05,RW_T10_58_Dark_20240612_O2,241.4303496,-0.004064504,19.98125455,S111,b,10,20,c,58,0,16:00:00,16:21:00,648.5,0.9211,2.8569,NA,NA,NA,NA,-0.002635831,-0.002620523,10.24197594,78.46851274,88.71048868
7.4,Rockweed,-1.53E-05,RW_T10_59_Dark_20240612_O2,237.1530868,-0.006009861,19.880625,S111,b,10,20,c,59,0,16:00:00,16:21:00,647,0.8806,2.6931,NA,NA,NA,NA,-0.00388838,-0.003873073,15.83359214,65.98284826,81.8164404
7.4,Rockweed,-1.53E-05,RW_T10_60_Dark_20240612_O2,186.1425263,-0.004168843,19.9416,S111,b,10,20,p,60,0,16:00:00,16:21:00,648.75,0.683,2.5288,NA,NA,NA,NA,-0.002704537,-0.002689229,14.17456197,34.57068779,48.74524976
7.4,Rockweed,-1.53E-05,RW_T2_10_Dark_20240428_O2,222.3992599,-0.003945675,19.88933333,S2,a,2,20,c,10,0,9:38:00,10:10:00,648,0.5598,1.9323,NA,NA,NA,NA,-0.002556797,-0.00254149,16.3439865,43.52172062,59.86570711
7.4,Rockweed,-1.53E-05,RW_T2_11_Dark_20240428_O2,186.8452842,-0.003817482,20.05032955,S2,a,2,20,p,11,0,9:38:00,10:10:00,648,0.8884,2.9722,NA,NA,NA,NA,-0.002473728,-0.002458421,9.962083532,21.31593817,31.2780217
7.4,Rockweed,-1.53E-05,RW_T2_12_Dark_20240428_O2,242.3393286,-0.004221901,20.06390909,S2,a,2,20,c,12,0,9:38:00,10:10:00,648,0.8338,2.6747,NA,NA,NA,NA,-0.002735792,-0.002720484,11.74591467,49.35898354,61.10489821
7.4,Rockweed,-1.53E-05,RW_T2_7_Dark_20240428_O2,232.0786027,-0.003815626,20.10061364,S2,a,2,20,p,7,0,9:38:00,10:10:00,644,1.0601,2.8139,NA,NA,NA,NA,-0.002457263,-0.002441956,8.292651937,40.22600438,48.51865631
7.4,Rockweed,-1.53E-05,RW_T2_8_Dark_20240428_O2,201.3054851,-0.004357944,20.09293182,S2,a,2,20,c,8,0,9:38:00,10:10:00,646,0.7874,2.7064,NA,NA,NA,NA,-0.002815232,-0.002799924,12.80127961,29.27243359,42.0737132
7.4,Rockweed,-1.53E-05,RW_T2_9_Dark_20240428_O2,237.8814422,-0.005413124,20.0025,S2,a,2,20,p,9,0,9:38:00,10:10:00,646,1.185,3.3606,NA,NA,NA,NA,-0.003496878,-0.003481571,10.57692335,69.11436698,79.69129033
7.4,Rockweed,-1.53E-05,RW_T8_43_Dark_20240429_O2,242.9859352,-0.005403947,16.82620225,S8,a,8,16,p,43,0,10:03:00,10:35:00,648,0.9313,2.4044,NA,NA,NA,NA,-0.003501758,-0.00348645,13.47709713,28.4238534,41.90095053
7.4,Rockweed,-1.53E-05,RW_T8_44_Dark_20240429_O2,246.7779694,-0.003785493,16.78479775,S8,a,8,16,c,44,0,10:03:00,10:35:00,648,0.7859,2.4338,NA,NA,NA,NA,-0.002452999,-0.002437692,11.16642203,31.57529749,42.74171951
7.4,Rockweed,-1.53E-05,RW_T8_45_Dark_20240429_O2,232.1751418,-0.00393654,16.65894382,S8,a,8,16,p,45,0,10:03:00,10:35:00,646,0.9456,2.8227,NA,NA,NA,NA,-0.002543005,-0.002527697,9.623213223,43.14346043,52.76667365
7.4,Rockweed,-1.53E-05,RW_T8_46_Dark_20240429_O2,246.1976193,-0.004359884,16.78257303,S8,a,8,16,c,46,0,10:03:00,10:35:00,648,1.1597,2.9006,NA,NA,NA,NA,-0.002825205,-0.002809897,8.722626882,62.01771769,70.74034457
7.4,Rockweed,-1.53E-05,RW_T8_47_Dark_20240429_O2,204.9286869,-0.004519414,16.76594318,S8,a,8,16,p,47,0,10:03:00,10:35:00,648,1.2397,2.8739,NA,NA,NA,NA,-0.00292858,-0.002913273,8.459935451,40.41487405,48.8748095
7.4,Rockweed,-1.53E-05,RW_T8_48_Dark_20240429_O2,194.3979985,-0.00185977,16.76061798,S8,a,8,16,c,48,0,10:03:00,10:35:00,648,1.0831,2.4331,NA,NA,NA,NA,-0.001205131,-0.001189823,3.95472667,39.80848718,43.76321385
7.4,Tegula,-2.99E-05,TEG_T1_26_20240615_O2,256.7185699,-0.0026553,15.92835028,S138,b,1,16,NA,26,0,9:38:00,10:59:00,115,0.0348,1.6391,9:12:00,11:00:00,1.3423,1.6441,-3.05E-04,-2.75E-04,28.49187931,0,28.49187931
